Al Jawf[Libya]---551,86km--->Awjilah[Libya]
Awjilah[Libya]---209,24km--->Ajdabiya[Libya]
Ajdabiya[Libya]---192,11km--->Al Marj[Libya]
Al Marj[Libya]---379,26km--->An Nawfaliyah[Libya]
An Nawfaliyah[Libya]---353,05km--->Al Fuqaha[Libya]
Al Fuqaha[Libya]---346,52km--->Adri[Libya]
Adri[Libya]---114,13km--->Awbari[Libya]
Awbari[Libya]---273,03km--->Al Qatrun[Libya]
Al Qatrun[Libya]---454,63km--->Aozou[Chad]
Aozou[Chad]---915,63km--->Ati[Chad]
Ati[Chad]---283,92km--->Abeche[Chad]
Abeche[Chad]---185,24km--->Al Junaynah[Sudan]
Al Junaynah[Sudan]---347,87km--->Am Timan[Chad]
Am Timan[Chad]---551,70km--->Bambari[Central African Republic]
Bambari[Central African Republic]---96,60km--->Alindao[Central African Republic]
Alindao[Central African Republic]---186,71km--->Bakouma[Central African Republic]
Bakouma[Central African Republic]---96,77km--->Bangassou[Central African Republic]
Bangassou[Central African Republic]---507,08km--->Bangui[Central African Republic]
Bangui[Central African Republic]---444,96km--->Baboua[Central African Republic]
Baboua[Central African Republic]---349,06km--->Banyo[Cameroon]
Banyo[Cameroon]---142,30km--->Baissa[Nigeria]
Baissa[Nigeria]---151,10km--->Bamenda[Cameroon]
Bamenda[Cameroon]---323,82km--->Aba[Nigeria]
Aba[Nigeria]---125,55km--->Awka[Nigeria]
Awka[Nigeria]---36,96km--->Asaba[Nigeria]
Asaba[Nigeria]---333,46km--->Abuja[Nigeria]
Abuja[Nigeria]---481,02km--->Abeokuta[Nigeria]
Abeokuta[Nigeria]---144,53km--->Allada[Benin]
Allada[Benin]---53,94km--->Athieme[Benin]
Athieme[Benin]---39,67km--->Aneho[Togo]
Aneho[Togo]---113,72km--->Abomey[Benin]
Abomey[Benin]---102,21km--->Atakpame[Togo]
Atakpame[Togo]---176,18km--->Bassila[Benin]
Bassila[Benin]---57,65km--->Bafilo[Togo]
Bafilo[Togo]---55,61km--->Bassar[Togo]
Bassar[Togo]---292,54km--->Banikoara[Benin]
Banikoara[Benin]---490,66km--->Aribinda[Burkina Faso]
Aribinda[Burkina Faso]---221,01km--->Ansongo[Mali]
Ansongo[Mali]---264,87km--->Anefis[Mali]
Anefis[Mali]---753,20km--->Arlit[Niger]
Arlit[Niger]---216,31km--->Agadez[Niger]
Agadez[Niger]---685,19km--->Ahaggar Mountains[Algeria]
