Birzai[Lithuania]---198,19km--->Alytus[Lithuania]
Alytus[Lithuania]---248,00km--->Auce[Latvia]
Auce[Latvia]---144,64km--->Aizpute[Latvia]
Aizpute[Latvia]---566,51km--->Bialobrzegi[Poland]
Bialobrzegi[Poland]---828,50km--->Botosani[Romania]
Botosani[Romania]---75,90km--->Bricany[Moldova]
Bricany[Moldova]---62,96km--->Camenca[Moldova]
Camenca[Moldova]---62,55km--->Beltsy[Moldova]
Beltsy[Moldova]---65,46km--->Calarasi[Moldova]
Calarasi[Moldova]---99,23km--->Bessarabka[Moldova]
Bessarabka[Moldova]---81,34km--->Bender[Moldova]
Bender[Moldova]---107,94km--->Cadyr-Lunga[Moldova]
Cadyr-Lunga[Moldova]---68,31km--->Cahul[Moldova]
Cahul[Moldova]---65,69km--->Braila[Romania]
Braila[Romania]---89,90km--->Babadag[Romania]
Babadag[Romania]---208,80km--->Adjud[Romania]
Adjud[Romania]---55,39km--->Bacau[Romania]
Bacau[Romania]---141,07km--->Buzau[Romania]
Buzau[Romania]---839,05km--->Ankara[Turkey]
Ankara[Turkey]---337,88km--->Amasya[Turkey]
Amasya[Turkey]---109,57km--->Carsamba[Turkey]
Carsamba[Turkey]---399,68km--->Bayburt[Turkey]
Bayburt[Turkey]---190,53km--->Artvin[Turkey]
Artvin[Turkey]---42,18km--->Batumi[Georgia (Asia)]
Batumi[Georgia (Asia)]---120,32km--->Abastumani[Georgia (Asia)]
Abastumani[Georgia (Asia)]---17,45km--->Borzhomi[Georgia (Asia)]
Borzhomi[Georgia (Asia)]---27,09km--->Akhaltsikhe[Georgia (Asia)]
Akhaltsikhe[Georgia (Asia)]---51,89km--->Bakuriani[Georgia (Asia)]
Bakuriani[Georgia (Asia)]---71,17km--->Amasiya[Armenia]
Amasiya[Armenia]---36,23km--->Artik[Armenia]
Artik[Armenia]---48,36km--->Ashtarak[Armenia]
Ashtarak[Armenia]---34,24km--->Artashat[Armenia]
Artashat[Armenia]---94,08km--->Alaverdi[Armenia]
Alaverdi[Armenia]---29,13km--->Bolnisi[Georgia (Asia)]
Bolnisi[Georgia (Asia)]---103,66km--->Berd[Armenia]
Berd[Armenia]---21,01km--->Agstafa[Azerbaijan]
Agstafa[Azerbaijan]---37,70km--->Artsvashen[Armenia]
Artsvashen[Armenia]---81,86km--->Bazarchay[Armenia]
Bazarchay[Armenia]---130,07km--->Agdam[Azerbaijan]
Agdam[Azerbaijan]---57,94km--->Agcabadi[Azerbaijan]
Agcabadi[Azerbaijan]---110,96km--->Agsu[Azerbaijan]
Agsu[Azerbaijan]---62,42km--->Altyagach[Azerbaijan]
Altyagach[Azerbaijan]---75,35km--->Ali Bayramli[Azerbaijan]
Ali Bayramli[Azerbaijan]---48,74km--->Alat[Azerbaijan]
Alat[Azerbaijan]---58,85km--->Baku[Azerbaijan]
Baku[Azerbaijan]---177,68km--->Astara[Azerbaijan]
Astara[Azerbaijan]---65,84km--->Ardabil[Iran]
Ardabil[Iran]---83,99km--->Bilasuvar[Azerbaijan]
Bilasuvar[Azerbaijan]---183,39km--->Bandar-e Anzali[Iran]
Bandar-e Anzali[Iran]---245,80km--->Arak[Iran]
Arak[Iran]---102,03km--->Borujerd[Iran]
Borujerd[Iran]---189,36km--->Ahvaz[Iran]
Ahvaz[Iran]---86,01km--->Abadan[Iran]
Abadan[Iran]---55,62km--->Al Basrah[Iraq]
Al Basrah[Iraq]---47,57km--->Ar Rawdatyn[Kuwait]
Ar Rawdatyn[Kuwait]---40,80km--->Al Jahrah[Kuwait]
Al Jahrah[Kuwait]---27,84km--->Ash Shuwaykh[Kuwait]
Ash Shuwaykh[Kuwait]---14,97km--->Al Maqwa[Kuwait]
Al Maqwa[Kuwait]---12,04km--->Al Ahmadi[Kuwait]
Al Ahmadi[Kuwait]---6,67km--->Al Fuhayhil[Kuwait]
Al Fuhayhil[Kuwait]---2,23km--->Ash Shuaybah[Kuwait]
Ash Shuaybah[Kuwait]---21,84km--->As Salimiyah[Kuwait]
As Salimiyah[Kuwait]---58,01km--->Al Wafra[Kuwait]
Al Wafra[Kuwait]---41,57km--->Al Khiran[Kuwait]
Al Khiran[Kuwait]---166,07km--->Al Hulaybah[Kuwait]
Al Hulaybah[Kuwait]---133,92km--->An Nasiriyah[Iraq]
An Nasiriyah[Iraq]---32,00km--->Ash Shatrah[Iraq]
Ash Shatrah[Iraq]---91,59km--->Al Kut[Iraq]
Al Kut[Iraq]---109,03km--->Ad Diwaniyah[Iraq]
Ad Diwaniyah[Iraq]---65,61km--->An Najaf[Iraq]
An Najaf[Iraq]---40,21km--->Al Hillah[Iraq]
Al Hillah[Iraq]---69,89km--->Baghdad[Iraq]
Baghdad[Iraq]---39,38km--->Baqubah[Iraq]
Baqubah[Iraq]---150,23km--->Ar Ramadi[Iraq]
